Team,Nickname,URL_code
Anadolu-Efes,EFE,55
AX-Armani-Exchange-Milan,MIL,5
Barca,FCB,23
Baskonia,BASK,18
Brose-Baskets-Bamberg,BRO,109
CSKA-Moscow,CSKA,44
Darussafaka-Basketbol-Istanbul,DBI,1114
Fenerbahce-Ulker,FEN,10
Galatasaray,GAL,338
KK-Crvena-Zvezda,ZVE,180
Maccabi-FOX-Tel-Aviv,MAC,4
Olympiacos,OLY,120
Panathinaikos,PAN,9
Real-Madrid,RMB,52
Zalgiris,ZAL,50
Khimki,KHI,134
Unicaja,UNI,43
Valencia-Basket,VAL,56
Bayern-Munich,BAY,343
Buducnost,BUD,67
Gran-Canaria,GCN,33
ALBA-Berlin,BER,142
ASVEL-Basket,LYV,89
Zenit-Saint-Petersburg,ZEN,137
UNICS-Kazan,UNI,146
