,#,Team,W,L,PCT,GB,L10,STRK,PPG,OPPG,DIFF,Home,Away,Year,League
0,1,Real Madrid,23,7,0.767,0,7-3,L 2,86.2,78.4,7.8,14-1,9-6,2016,EL
1,2,CSKA Moscow,22,8,0.733,1,7-3,W 1,87.3,79.6,7.7,14-1,8-7,2016,EL
2,3,Olympiacos,19,11,0.633,4,4-6,L 1,77.9,74.2,3.7,11-4,8-7,2016,EL
3,4,Panathinaikos,19,11,0.633,4,5-5,L 3,77.5,74.5,3.0,14-1,5-10,2016,EL
4,5,Fenerbahce Ulker,18,12,0.6,5,7-3,W 6,76.2,74.8,1.4,11-4,7-8,2016,EL
5,6,Anadolu Efes,17,13,0.567,6,6-4,L 2,84.0,83.7,0.3,11-4,6-9,2016,EL
6,7,Baskonia,17,13,0.567,6,5-5,L 4,81.5,79.2,2.3,10-5,7-8,2016,EL
7,8,Darussafaka Basketbol Istanbul,16,14,0.533,7,5-5,L 2,79.1,78.9,0.2,11-4,5-10,2016,EL
8,9,KK Crvena Zvezda,16,14,0.533,7,4-6,L 1,73.6,73.5,0.1,10-5,6-9,2016,EL
9,10,Zalgiris,14,16,0.467,9,6-4,W 1,78.3,79.7,-1.4,6-9,8-7,2016,EL
10,11,Barca,12,18,0.4,11,4-6,L 1,71.4,74.7,-3.3,9-6,3-12,2016,EL
11,12,Galatasaray,11,19,0.367,12,5-5,W 1,78.2,82.5,-4.3,8-7,3-12,2016,EL
12,13,Brose Baskets Bamberg,10,20,0.333,13,3-7,L 2,79.9,81.0,-1.1,6-9,4-11,2016,EL
13,14,Maccabi FOX Tel Aviv,10,20,0.333,13,3-7,L 3,78.0,83.6,-5.6,6-9,4-11,2016,EL
14,15,AX Armani Exchange Milan,8,22,0.267,15,2-8,L 1,80.7,87.4,-6.7,6-9,2-13,2016,EL
15,16,UNICS Kazan,8,22,0.267,15,1-9,W 1,76.6,80.8,-4.2,5-10,3-12,2016,EL
16,1,CSKA Moscow,24,6,0.8,0,6-4,L 2,89.5,79.6,9.9,14-1,10-5,2017,EL
17,2,Fenerbahce Ulker,21,9,0.7,3,7-3,L 1,80.7,75.2,5.5,10-5,11-4,2017,EL
18,3,Real Madrid,19,11,0.633,5,8-2,W 5,86.2,79.8,6.4,11-4,8-7,2017,EL
19,4,Panathinaikos,19,11,0.633,5,6-4,L 3,78.9,77.5,1.4,13-2,6-9,2017,EL
20,5,Olympiacos,19,11,0.633,5,3-7,L 2,77.8,76.7,1.1,12-3,7-8,2017,EL
21,6,Zalgiris,18,12,0.6,6,7-3,W 1,81.5,80.5,1.0,11-4,7-8,2017,EL
22,7,Baskonia,16,14,0.533,8,6-4,L 1,82.9,79.1,3.8,10-5,6-9,2017,EL
23,8,Khimki,16,14,0.533,8,3-7,L 1,77.9,78.4,-0.5,9-6,7-8,2017,EL
24,9,Maccabi FOX Tel Aviv,13,17,0.433,11,2-8,L 5,81.3,84.3,-3.0,9-6,4-11,2017,EL
25,10,Unicaja,13,17,0.433,11,5-5,W 2,79.6,82.2,-2.6,9-6,4-11,2017,EL
26,11,Valencia Basket,12,18,0.4,12,5-5,W 1,78.7,81.6,-2.9,9-6,3-12,2017,EL
27,12,Barca,11,19,0.367,13,4-6,W 2,81.9,80.1,1.8,8-7,3-12,2017,EL
28,13,KK Crvena Zvezda,11,19,0.367,13,3-7,L 4,77.8,83.8,-6.0,8-7,3-12,2017,EL
29,14,Brose Baskets Bamberg,11,19,0.367,13,4-6,L 2,77.0,81.5,-4.5,9-6,2-13,2017,EL
30,15,AX Armani Exchange Milan,10,20,0.333,14,4-6,L 1,81.7,85.8,-4.1,5-10,5-10,2017,EL
31,16,Anadolu Efes,7,23,0.233,17,2-8,W 1,77.4,84.4,-7.0,4-11,3-12,2017,EL
32,1,Fenerbahce Ulker,25,5,0.833,0,6-4,L 2,84.3,75.8,8.5,15-0,10-5,2018,EL
33,2,CSKA Moscow,24,6,0.8,1,9-1,W 4,86.8,80.3,6.5,13-2,11-4,2018,EL
34,3,Real Madrid,22,8,0.733,3,7-3,W 1,85.9,78.1,7.8,13-2,9-6,2018,EL
35,4,Anadolu Efes,20,10,0.667,5,7-3,L 1,85.4,80.2,5.2,12-3,8-7,2018,EL
36,5,Barca,18,12,0.6,7,5-5,L 1,79.0,76.4,2.6,12-3,6-9,2018,EL
37,6,Panathinaikos,16,14,0.533,9,6-4,L 3,79.6,78.5,1.1,11-4,5-10,2018,EL
38,7,Baskonia,15,15,0.5,10,4-6,L 2,81.9,79.6,2.3,11-4,4-11,2018,EL
39,8,Zalgiris,15,15,0.5,10,7-3,L 2,79.7,78.5,1.2,8-7,7-8,2018,EL
40,9,Olympiacos,15,15,0.5,10,3-7,W 1,77.9,76.9,1.0,10-5,5-10,2018,EL
41,10,AX Armani Exchange Milan,14,16,0.467,11,5-5,L 4,87.3,87.2,0.1,8-7,6-9,2018,EL
42,11,Maccabi FOX Tel Aviv,14,16,0.467,11,5-5,L 1,79.2,78.2,1.0,9-6,5-10,2018,EL
43,12,Bayern Munich,14,16,0.467,11,4-6,W 1,79.1,80.8,-1.7,10-5,4-11,2018,EL
44,13,Khimki,9,21,0.3,16,2-8,L 8,78.2,81.8,-3.6,6-9,3-12,2018,EL
45,14,Gran Canaria,8,22,0.267,17,2-8,L 2,77.7,87.8,-10.1,6-9,2-13,2018,EL
46,15,Buducnost,6,24,0.2,19,0-10,L 10,74.3,85.0,-10.7,6-9,0-15,2018,EL
47,16,Darussafaka Basketbol Istanbul,5,25,0.167,20,2-8,L 1,74.6,85.9,-11.3,5-10,0-15,2018,EL
48,1,Anadolu Efes,24,4,0.857,0,9-1,W 1,87.3,77.7,9.6,11-2,13-2,2019,EL
49,2,Barca,22,6,0.786,2,9-1,W 9,84.2,78.3,5.9,11-2,11-4,2019,EL
50,3,Real Madrid,22,6,0.786,2,7-3,W 7,84.7,77.3,7.4,13-1,9-5,2019,EL
51,4,CSKA Moscow,19,9,0.679,5,7-3,W 2,83.4,77.0,6.4,10-4,9-5,2019,EL
52,5,Maccabi FOX Tel Aviv,19,9,0.679,5,7-3,L 1,82.4,77.4,5.0,13-1,6-8,2019,EL
53,6,Panathinaikos,14,14,0.5,10,4-6,L 4,87.1,86.9,0.2,10-5,4-9,2019,EL
54,7,Khimki,13,15,0.464,11,5-5,W 1,85.5,85.5,0.0,10-4,3-11,2019,EL
55,8,Fenerbahce Ulker,13,15,0.464,11,6-4,L 1,78.1,79.2,-1.1,7-7,6-8,2019,EL
56,9,Valencia Basket,12,16,0.429,12,4-6,L 4,81.6,82.3,-0.7,7-7,5-9,2019,EL
57,10,Olympiacos,12,16,0.429,12,5-5,L 1,81.0,82.5,-1.5,9-5,3-11,2019,EL
58,11,Zalgiris,12,16,0.429,12,7-3,L 1,80.6,78.4,2.2,7-7,5-9,2019,EL
59,12,AX Armani Exchange Milan,12,16,0.429,12,2-8,W 1,78.1,80.9,-2.8,9-5,3-11,2019,EL
60,13,Baskonia,12,16,0.429,12,5-5,W 3,73.5,77.0,-3.5,9-5,3-11,2019,EL
61,14,KK Crvena Zvezda,11,17,0.393,13,2-8,W 1,74.8,76.8,-2.0,7-8,4-9,2019,EL
62,15,ASVEL Basket,10,18,0.357,14,2-8,L 1,74.4,81.8,-7.4,9-5,1-13,2019,EL
63,16,ALBA Berlin,9,19,0.321,15,4-6,L 3,84.5,88.6,-4.1,4-9,5-10,2019,EL
64,17,Zenit Saint Petersburg,8,20,0.286,16,3-7,W 1,74.9,80.8,-5.9,4-11,4-9,2019,EL
65,18,Bayern Munich,8,20,0.286,16,2-8,L 2,73.9,81.6,-7.7,6-8,2-12,2019,EL
66,1,CSKA Moscow,24,10,0.706,0,8-2,L 2,84.3,79.7,4.6,12-5,12-5,2020,EL
67,2,Barca,24,10,0.706,0,5-5,L 1,80.6,73.6,7.0,11-6,13-4,2020,EL
68,3,Anadolu Efes,22,12,0.647,2,7-3,W 3,84.0,76.9,7.1,10-6,12-6,2020,EL
69,4,AX Armani Exchange Milan,21,13,0.618,3,6-4,W 1,81.4,77.9,3.5,11-6,10-7,2020,EL
70,5,Bayern Munich,21,13,0.618,3,5-5,L 1,78.2,77.3,0.9,13-4,8-9,2020,EL
71,6,Real Madrid,20,14,0.588,4,5-5,L 1,80.1,77.5,2.6,10-7,10-7,2020,EL
72,7,Zenit Saint Petersburg,20,14,0.588,4,6-4,L 1,78.5,74.9,3.6,10-7,10-7,2020,EL
73,8,Fenerbahce Ulker,20,14,0.588,4,4-6,L 5,78.5,79.1,-0.6,10-8,10-6,2020,EL
74,9,Valencia Basket,19,15,0.559,5,7-3,W 2,81.9,81.2,0.7,12-5,7-10,2020,EL
75,10,Baskonia,18,16,0.529,6,7-3,L 2,80.9,77.6,3.3,11-6,7-10,2020,EL
76,11,Zalgiris,17,17,0.5,7,4-6,W 1,77.4,77.8,-0.4,10-7,7-10,2020,EL
77,12,Olympiacos,16,18,0.471,8,5-5,W 1,78.6,79.8,-1.2,7-10,9-8,2020,EL
78,13,Maccabi FOX Tel Aviv,14,20,0.412,10,4-6,L 1,78.4,79.2,-0.8,9-8,5-12,2020,EL
79,14,ASVEL Basket,13,21,0.382,11,3-7,L 1,76.7,80.6,-3.9,8-9,5-12,2020,EL
80,15,ALBA Berlin,12,22,0.353,12,4-6,W 1,78.6,82.7,-4.1,6-11,6-11,2020,EL
81,16,Panathinaikos,11,23,0.324,13,2-8,L 3,79.7,83.7,-4.0,8-9,3-14,2020,EL
82,17,KK Crvena Zvezda,10,24,0.294,14,3-7,L 1,74.1,79.7,-5.6,6-11,4-13,2020,EL
83,18,Khimki,4,30,0.118,20,2-8,L 3,77.5,90.2,-12.7,3-14,1-16,2020,EL
